,"When you think you have guessed the meaning of a glyph, select it and use the Annotation Button to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, sélectionnez-le puis utilisez le bouton d’Annotation pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以选中字符，然后按备注键记下自己的猜测。,當你覺得已猜出某一字符的含義時，選擇該字符並使用「註解」鍵，即可記錄下你的猜測。
,"When you think you have guessed the meaning of a glyph, select it and use the Annotation button to note your hypothesis.","Quand vous pensez avoir deviné le sens d'un glyphe, sélectionnez-le puis utilisez la touche d’Annotation pour consigner votre hypothèse.",如果觉得自己猜到了某个字符的意思，可以选中字符，然后按备注按键记下自己的猜测。,當你覺得已猜出某一字符的含義時，選擇該字符並使用「註解」按鈕，即可記錄下你的猜測。
tuto.annotation.pad.2.xbox,"To exit the Journal, press the Cancel button.","Pour quitter le Journal, utilisez la touche Annuler.",按取消按钮可以合上笔记本。,要退出日誌，請按下「取消」按鍵。
,"To exit the Journal, press the Cancel Button.","Pour quitter le Journal, utilisez le bouton Annuler.",按取消键可以合上笔记本。,要退出日誌，請按下「取消」鍵。
,"To exit the Journal, press the Cancel button.","Pour quitter le Journal, utilisez la touche Annuler.",按取消按键可以合上笔记本。,要退出日誌，請按下「取消」按鈕。
menu.aide.titre.glyphes,Glyphs,Glyphes,字符,字符
tuto.validation.souris.1,Drag each glyph into the slot that you think matches it.,Glissez chaque glyphe dans l'emplacement qui semble lui correspondre.,觉得哪个字符意义合适，就把它拖进相应的圆圈。,拖動各個字符到你認為相符的欄位。
tuto.validation.2,"If all the glyphs on a double page are correct, they will be definitively validated.","Si tous les glyphes d'une double-page sont corrects, ils seront définitivement validés.",如果左右两页的字符都和绘图的含义匹配，它们的意义就通过了验证。,如果一組跨頁頁面上所有字符都配對正確，則這些字符的含義會獲得驗證。
tuto.liaison.1,"Some glyphs can be linked to the equivalent glyph of another language, even if it's not yet translated.","Certains glyphes peuvent être liés au glyphe équivalent d'une autre langue, même si celui-ci n'est pas encore traduit.",有些字符就算还没破译，也可以与其他语言意义相同的字符关联。,有些字符可以與其他語言中對等的字符連結起來，即使尚未破譯。
tuto.liaison.2,It is possible to validate the link from one glyph to another without having translated the original one yet.,Il est possible de valider la liaison d'un glyphe à un autre sans avoir encore traduit celui d'origine.,有时候不需要破译某个语言的某个字符，就可以验证它与另一个字符的关联。,無須破譯原先的字符，也能夠驗證兩個字符之間的連結。
tuto.validation.pad.1.xbox,Use the Action button to move each glyph into the slot that you think matches it.,"Placez chaque glyphe dans l'emplacement qui semble lui correspondre, en le déplaçant grâce à la touche d’Action.",觉得哪个字符意义合适，就按行动按钮把它移进相应的圆圈。,使用「操作」按鍵，將各個字符移動到你認為相符的欄位。
,Use the Action Button to move each glyph into the slot that you think matches it.,"Placez chaque glyphe dans l'emplacement qui semble lui correspondre, en le déplaçant grâce au bouton d’Action.",觉得哪个字符意义合适，就按行动键把它移进相应的圆圈。,使用「操作」鍵，將各個字符移動到你認為相符的欄位。
,Use the Interaction button to move each glyph into the slot that you think matches it.,"Placez chaque glyphe dans l'emplacement qui semble lui correspondre, en le déplaçant grâce à la touche d’Interaction.",觉得哪个字符意义合适，就按互动按键把它移进相应的圆圈。,使用「互動」按鈕，將各個字符移動到你認為相符的欄位。
tuto.validation.2,"If all the glyphs on a double page are correct, they will be definitively validated.","Si tous les glyphes d'une double-page sont corrects, ils seront définitivement validés.",如果左右两页的字符都和绘图的含义匹配，它们的意义就通过了验证。,如果一組跨頁頁面上所有字符都配對正確，則這些字符的含義會獲得驗證。
tuto.liaison.1,"Some glyphs can be linked to the equivalent glyph of another language, even if it's not yet translated.","Certains glyphes peuvent être liés au glyphe équivalent d'une autre langue, même si celui-ci n'est pas encore traduit.",有些字符就算还没破译，也可以与其他语言意义相同的字符关联。,有些字符可以與其他語言中對等的字符連結起來，即使尚未破譯。
tuto.liaison.2,It is possible to validate the link from one glyph to another without having translated the original one yet.,Il est possible de valider la liaison d'un glyphe à un autre sans avoir encore traduit celui d'origine.,有时候不需要破译某个语言的某个字符，就可以验证它与另一个字符的关联。,無須破譯原先的字符，也能夠驗證兩個字符之間的連結。
menu.aide.titre.inventaire,Inventory,Inventaire,行囊,背包
tuto.inventaire.souris.1,Collected items are added to the Inventory. Click on the icon of an item to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Cliquez sur l'icône d'un objet pour l'ouvrir.,东西拿到之后会放进行囊，点击物品图标就能打开行囊。,拾取的物品會加入背包。點按物品圖標，即可打開背包。
tuto.inventaire.souris.2,"From the Inventory, you can observe your items closely and rotate them.","Depuis l'Inventaire, vous pouvez observer vos objets de près et les faire pivoter.",打开行囊之后，可以随意旋转物品，仔细观察。,打開背包後，你可以旋轉物品，並近距離觀察。
tuto.combinaison.souris,"Some elements of the environment can be combined with items from your Inventory. To combine them, first click on the element, choose your item, then click on the Combine button.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, cliquez d'abord sur l'élément, choisissez votre objet, puis cliquez sur le bouton d’Association.",周围有些东西能和行囊里的物品组合。操作步骤：首先点击周围的东西，然后选择你的物品，最后点击组合按钮。,某些環境要素可以與你背包內的物品搭配使用。要將兩者組合起來，首先點按環境要素，選擇你的物品，然後點按「組合」按鈕。
tuto.inventaire.pad.1.xbox,Collected items are added to the Inventory. Press the Inventory button to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Appuyez sur la touche Inventaire pour l'ouvrir.,东西拿到之后会放进行囊，按行囊按钮可以打开行囊。,拾取的物品會加入背包。按下「背包」按鍵，即可將其打開。
,Collected items are added to the Inventory. Press the Inventory Button to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Appuyez sur le bouton Inventaire pour l'ouvrir.,东西拿到之后会放进行囊，按行囊键可以打开行囊。,拾取的物品會加入背包。按下「背包」鍵，即可將其打開。
,Collected items are added to the Inventory. Press the Inventory button to open it.,Les objets ramassés sont ajoutés à l'Inventaire. Appuyez sur la touche Inventaire pour l'ouvrir.,东西拿到之后会放进行囊，按行囊按键可以打开行囊。,拾取的物品會加入背包。按下「背包」按鈕，即可將其打開。
tuto.inventaire.pad.2.xbox,"From the Inventory, use the left stick to rotate an item.","Depuis l'Inventaire, utilisez le stick analogique gauche pour faire pivoter un objet.",打开行囊之后，可以使用左摇杆旋转物品。,打開背包後，使用左搖桿即可旋轉物品。
,"From the Inventory, use the Left Stick to rotate an item.","Depuis l'Inventaire, utilisez le stick gauche pour faire pivoter un objet.",打开行囊之后，可以使用L摇杆旋转物品。,打開背包後，使用L操控搖桿即可旋轉物品。
,"From the Inventory, use the left stick to rotate an item.","Depuis l'Inventaire, utilisez le joystick gauche pour faire pivoter un objet.",打开行囊之后，可以使用左操作杆旋转物品。,打開背包後，使用左操作桿即可旋轉物品。
tuto.combinaison.pad.xbox,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Action button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur la touche d'Action.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下行动按钮。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「操作」按鍵。
,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Action Button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur le bouton d'Action.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下行动键。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「操作」鍵。
,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Interaction button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur la touche d'Interaction.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下互动按键。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「互動」按鈕。
menu.aide.titre.infiltration,Infiltration,Infiltration,潜行,潛行
tuto.infiltration.souris,"Some areas must be crossed without being noticed. Hover over a hiding place until a silhouette appears, then click to go there.","Certaines zones doivent être traversées discrètement. Survolez une cachette jusqu'à faire apparaître une silhouette, puis cliquez pour vous y rendre.",穿过某些区域的时候绝对不能被人看到。得先移动光标，寻找出现虚影的地方，点一下就能摸过去。,穿越某些區域時，必須小心前進，不被人發現。將滑鼠游標懸停在藏身處，直到出現人物輪廓，然後點按即可前往該處。
tuto.infiltration.pad.1.xbox,Go close to a hiding place and press the Action button to hide.,Approchez-vous d'une cachette et appuyez sur la touche d'Action pour vous y dissimuler.,走到可以藏身的地方，按下行动按钮就能藏起来。,接近藏身處後，按下「操作」按鍵即可躲藏起來。
,Go close to a hiding place and press the Action Button to hide.,Approchez-vous d'une cachette et appuyez sur le bouton d'Action pour vous y dissimuler.,走到可以藏身的地方，按下行动键就能藏起来。,接近藏身處後，按下「操作」鍵即可躲藏起來。
,Go close to a hiding place and press the Interaction button to hide.,Approchez-vous d'une cachette et appuyez sur la touche d'Interaction pour vous y dissimuler.,走到可以藏身的地方，按下互动按键就能藏起来。,接近藏身處後，按下「互動」按鈕即可躲藏起來。
tuto.infiltration.pad.2.xbox,Go along the walls with the left stick.,Longez les murs grâce au stick analogique gauche.,使用左摇杆沿着墙根移动。,使用左搖桿沿著牆壁前進。
,Go along the walls with the Left Stick.,Longez les murs grâce au stick gauche.,使用L摇杆沿着墙根移动。,使用L操控搖桿沿著牆壁前進。
,Go along the walls with the left stick.,Longez les murs grâce au joystick gauche.,使用左操作杆沿着墙根移动。,使用左操作桿沿著牆壁前進。
tuto.infiltration.pad.3.xbox,Press the Cancel button to return to free travel mode.,Appuyez sur la touche d'Annulation pour repasser en déplacement libre.,按取消按钮可以回到自由移动的状态。,按下「取消」按鍵，即可返回自由探索模式。
,Press the Cancel Button to return to free travel mode.,Appuyez sur le bouton d'Annulation pour repasser en déplacement libre.,按取消键可以回到自由移动的状态。,按下「取消」鍵，即可返回自由探索模式。
,Press the Cancel button to return to free travel mode.,Appuyez sur la touche d'Annulation pour repasser en déplacement libre.,按取消按键可以回到自由移动的状态。,按下「取消」按鈕，即可返回自由探索模式。
menu.aide.titre.mecanisme,Mechanisms,Mécanismes,机关,玩法機制
tuto.mecanisme.souris.1,The components of some devices or mechanisms can be manipulated.,Les éléments de certains appareils ou mécanismes peuvent être manipulés.,某些设备或者机关的部件可以操作。,有些機關或裝置的組件是可以操縱的。
tuto.mecanisme.souris.2,"Hover over a component, then hold down the left mouse button to grab it.",Survolez un élément puis maintenez le clic gauche enfoncé pour le saisir.,光标移到部件上，然后按住鼠标左键抓住部件。,將滑鼠游標懸停在組件上，然後按住滑鼠左鍵抓取。
tuto.mecanisme.souris.3,"Drag the component to the desired position, then release.","Déplacez l'élément jusqu'à la position désirée, puis relâchez.",将部件拖到目标位置，然后松开鼠标左键。,拖曳組件到所需位置，然後放開。
tuto.mecanisme.pad.1,The components of some devices or mechanisms can be manipulated.,Les éléments de certains appareils ou mécanismes peuvent être manipulés.,某些设备或者机关的部件可以操作。,有些機關或裝置的組件是可以操縱的。
tuto.mecanisme.pad.2.xbox,"Select a component with the left stick, then hold the Action button to grab it.",Sélectionnez un élément avec le stick analogique gauche puis maintenez la touche d'Action pour le saisir.,使用左摇杆选中部件，然后长按行动按钮抓住部件。,用左搖桿選擇組件，然後長按「操作」按鍵抓取。
,"Select a component with the Left Stick, then hold the Action Button to grab it.",Sélectionnez un élément avec le stick gauche puis maintenez le bouton d'Action pour le saisir.,使用L摇杆选中部件，然后长按行动键抓住部件。,用L操控搖桿選擇組件，然後長按「操作」鍵抓取。
,"Select a component with the left stick, then hold the Interaction button to grab it.",Sélectionnez un élément avec le joystick gauche puis maintenez la touche d'Interaction pour le saisir.,使用左摇杆选中部件，然后长按互动按键抓住部件。,用左操作桿選擇組件，然後長按「互動」按鈕抓取。
tuto.mecanisme.pad.3.xbox,"While holding down the button, move the component with the left stick to the desired position, then release.","Tout en maintenant la touche pressée, déplacez l'élément avec le stick analogique gauche jusqu'à la position désirée, puis relâchez.",长按按钮的同时，使用左摇杆将部件移到目标位置，然后松开按钮。,按住按鍵的同時，用左搖桿移動組件到所需位置，然後再放開。
,"While holding down the Button, move the component with the Left Stick to the desired position, then release.","Tout en maintenant le bouton pressé, déplacez l'élément avec le stick gauche jusqu'à la position désirée, puis relâchez.",长按按键的同时，使用L摇杆将部件移到目标位置，然后松开按键。,按住按鍵的同時，用L操控搖桿移動組件到所需位置，然後再放開。
,"While holding down the button, move the component with the left stick to the desired position, then release.","Tout en maintenant la touche pressée, déplacez l'élément avec le joystick gauche jusqu'à la position désirée, puis relâchez.",长按按键的同时，使用左操作杆将部件移到目标位置，然后松开按键。,按住按鈕的同時，用左操作桿移動組件到所需位置，然後再放開。
menu.aide.titre.indices,Hints,Indices,提示,提示
tuto.indices.souris.1,"If needed, use the middle button to reveal all the interactive items in the surroundings.","En cas de besoin, utilisez le bouton du milieu pour dévoiler tous les éléments interactifs autour de vous.",如有需要，按鼠标中键就能显示周围可以互动的物体。,如有需要，按下滑鼠中鍵即可顯示周圍所有可互動物品。
tuto.indices.souris.2,A pulsating white dot indicates items where something is still to be seen or done.,Un point blanc pulsant indique les éléments sur lesquels il reste quelque chose à voir ou à faire.,如果周围出现闪烁的小白点，就说明那里还有东西没有观察或者还有事情没做。,螢幕上出現的閃爍白點，會指示何處有尚未發現或互動的物品。
tuto.indices.pad.1.xbox,You can use the Hints button to reveal nearby interactions.,"En cas de besoin, utilisez la touche Indices pour dévoiler tous les éléments interactifs autour de vous.",按提示按钮可以显示周围能够互动的物体。,如有需要，按下「提示」按鍵即可顯示周圍所有的可互動選項。
,You can use the Hints Button to reveal nearby interactions.,"En cas de besoin, utilisez le bouton Indices pour dévoiler tous les éléments interactifs autour de vous.",按提示键可以显示周围能够互动的物体。,如有需要，按下「提示」鍵即可顯示周圍所有的可互動選項。
,You can use the Hints button to reveal nearby interactions.,"En cas de besoin, utilisez la touche Indices pour dévoiler tous les éléments interactifs autour de vous.",按提示按键可以显示周围能够互动的物体。,如有需要，按下「提示」按鈕即可顯示周圍所有的可互動選項。
tuto.indices.pad.2,A pulsating white dot indicates items where something is still to be seen or done.,Un point blanc pulsant indique les éléments sur lesquels il reste quelque chose à voir ou à faire.,如果周围出现闪烁的小白点，就说明那里还有东西没有观察或者还有事情没做。,螢幕上出現的閃爍白點，會指示何處有尚未發現或互動的物品。
eula.link,"""Read our End User License Agreement at\nwww.focus-entmt.com/eula/consoles.""","""Lire les termes de notre Contrat de Licence Utilisateur Final sur\nwww.focus-entmt.com/eula/consoles.""","""前往www.focus-entmt.com/eula/consoles\n阅读我们的《终端用户许可协议》。""","""請前往www.focus-entmt.com/eula/consoles\n閱讀我們的使用者授權合約。"""
eula.agree,I agree,J’accepte,我同意,我同意
eula.refuse,I refuse,Je refuse,我不同意,我不同意
eula.title,End User License Agreement,Contrat de Licence Utilisateur Final,终端用户许可协议,使用者授權合約
eula.content,"""Please accept our End User License Agreement in order to play the game. \n\nYou hereby acknowledge to have read and understood the License Agreement and to have accepted that installation of the Multimedia Program is confirmation of your acceptance to be contractually bound by the following provisions. You hereby acknowledge and accept that the present License Agreement stipulates all of the agreement exclusively between Focus Entertainment and yourself and that the License Agreement replaces any previous or current agreement, whether oral or written, as well as any other communication between Focus Entertainment and you, notably any written license agreement accompanying the Multimedia Program that is inconsistent and/or contrary to these terms.""","""Veuillez accepter les termes de notre Contrat de Licence Utilisateur Final afin de pouvoir jouer.\n\nPar les présentes, vous reconnaissez avoir pris connaissance et compris le Contrat de Licence et avoir accepté que l'action d'installer le Programme Multimédia est une confirmation de votre acceptation d’être contractuellement lié par les dispositions qui suivent. Vous reconnaissez et acceptez que le présent Contrat de Licence stipule l’intégralité et l’exclusivité de l’accord intervenu entre Focus Entertainment et vous et que le Contrat de Licence remplace tout accord antérieur ou actuel, oral ou écrit, ainsi que toute autre communication entre Focus Entertainment et vous, notamment tout contrat de licence écrit accompagnant le Programme Multimédia et incompatible et/ou contraire aux présentes.""","""进行游戏之前请接受我们的《终端用户许可协议》。\n\n您在此确认您已阅读并理解《许可协议》的相关内容，同时赞同您安装这款多媒体程序即表示自己接受以下条款的合同约束。您在此确认并赞同本《许可协议》明确说明了您与Focus Entertainment所订协议的所有内容，同时确认并赞同无论您与Focus Entertainment此前订立何种口头协议或书面协议，无论您与Focus Entertainment此前有过何种通信，即便本多媒体程序随附其他任何书面许可协议，均以本《许可协议》条款为准。""","""進行遊戲前請接受我們的使用者授權合約。\n\n您在此確認您已閱讀並瞭解授權合約；接受安裝此多媒體程式即確認自己接受以下條款的合約約束。您在此確認並接受本授權合約明確規定 Focus Entertainment 與您之間的所有協議，以及本授權合約取代之前和現在所有口頭與書面協議，和 Focus Entertainment 與您之間進行的任何其他通信內容，特別是附隨於此多媒體程式且與本條款不一致和／或相悖的任何書面協議。"""
menu.indic.valider,Select,Valider,确认,選擇
menu.indic.annuler,Back,Retour,返回,返回
menu.demo.version.demo,Demo version,Version démo,试玩版,體驗版
menu.demo.get.other,Get full version,Obtenir la version complète,入手完整版本,取得完整版
,Available for purchase,Disponible à l'achat,已开放购买,現正販售中
,Get full version,Obtenir la version complète,入手完整版本,取得完整版
menu.pad.debranche.xbox,Your controller is disconnected!,Votre manette est déconnectée !,控制器断开连接！,控制器已中斷連線！
,Your controller is disconnected!,Votre manette est déconnectée !,控制器断开连接！,控制器已中斷連線！
,Your wireless controller is disconnected!,Votre manette sans fil est déconnectée !,无线控制器断开连接！,無線控制器已中斷連線！
tuto.deplacement.souris.1,Click on the background to move.,Cliquez dans le décor pour vous déplacer à la souris.,点击地面即可移动。,點按背景移動。
tuto.deplacement.souris.2,You can also choose to play with a controller.,Vous pouvez également choisir de jouer à la manette.,也可以选择使用控制器。,你也可以選擇用控制器進行遊戲。
tuto.deplacement.pad.xbox,Use the left stick to move.,Utilisez le stick analogique gauche pour vous déplacer.,使用左摇杆移动。,使用左搖桿移動。
,Use the Left Stick to move.,Utilisez le stick gauche pour vous déplacer.,使用L摇杆移动。,使用L操控搖桿移動。
,Use the left stick to move.,Utilisez le joystick gauche pour vous déplacer.,使用左操作杆移动。,使用左操作桿移動。
tuto.deplacement.pad.2,You can also choose to play using the mouse.,Vous pouvez également choisir de jouer à la souris.,也可以使用鼠标游玩。,你也可以選擇用滑鼠進行遊戲。
tuto.deplacement.pad.xbox,Use the left stick to move.,Utilisez le stick analogique gauche pour vous déplacer.,使用左摇杆移动。,使用左搖桿移動。
,Use the Left Stick to move.,Utilisez le stick gauche pour vous déplacer.,使用L摇杆移动。,使用L操控搖桿移動。
,Use the left stick to move.,Utilisez le joystick gauche pour vous déplacer.,使用左操作杆移动。,使用左操作桿移動。
tuto.interaction.souris,Click on an item to interact with it.,Cliquez sur un élément pour interagir avec lui.,如果需要和某个物体互动，点击物体就行。,點按物品與之互動。
tuto.interaction.pad.xbox,Go close to an item and press the Action button to interact with it.,Approchez-vous d’un élément et appuyez sur la touche d’Action pour interagir avec lui.,走到物体旁边，然后按行动按钮可以与其互动。,接近物品後，按下「操作」按鍵與之互動。
,Go close to an item and press the Action Button to interact with it.,Approchez-vous d’un élément et appuyez sur le bouton d’Action pour interagir avec lui.,走到物体旁边，然后按行动键可以与其互动。,接近物品後，按下「操作」鍵與之互動。
,Go close to an item and press the Interaction button to interact with it.,Approchez-vous d’un élément et appuyez sur la touche d’Interaction pour interagir avec lui.,走到物体旁边，然后按互动按键可以与其互动。,接近物品後，按下「互動」按鈕與之互動。
tuto.journal.souris.1,This Journal will record all the glyphs you discover.,Le Journal enregistre tous les glyphes que vous découvrez.,这个笔记本会记下你看到的所有字符。,這本日誌會記錄你發現的所有字符。
tuto.journal.souris.2,"To open it, click on the Journal button.","Pour l'afficher, cliquez sur le bouton Journal.",点击笔记本的图标，就能翻开笔记本。,要打開日誌，請點按「日誌」按鈕。
tuto.journal.souris.3,You can also open it by clicking directly on a text.,Vous pouvez aussi l’ouvrir en cliquant directement sur un texte.,直接点击文字也能翻开笔记本。,直接點按文字，也同樣可以打開日誌。
tuto.journal.pad.1,This Journal will record all the glyphs you discover.,Le Journal enregistre tous les glyphes que vous découvrez.,这个笔记本会记下你看到的所有字符。,這本日誌會記錄你發現的所有字符。
tuto.journal.pad.2.xbox,"To open it, press the Journal button.","Pour l'afficher, appuyez sur la touche Journal.",按笔记本按钮可以翻开笔记本。,要打開日誌，請按下「日誌」按鍵。
,"To open it, press the Journal Button.","Pour l'afficher, appuyez sur le bouton Journal.",按笔记本键可以翻开笔记本。,要打開日誌，請按下「日誌」鍵。
,"To open it, press the Journal button.","Pour l'afficher, appuyez sur la touche Journal.",按笔记本按键可以翻开笔记本。,要打開日誌，請按下「日誌」按鈕。
tuto.journal.pad.3,You can also open it by selecting a text directly.,Vous pouvez aussi l’ouvrir en sélectionnant directement un texte.,直接选中文字也能翻开笔记本。,直接選擇文字，也同樣可以打開日誌。
tuto.indices.souris.1,"If needed, use the middle button to reveal all the interactive items in the surroundings.","En cas de besoin, utilisez le bouton du milieu pour dévoiler tous les éléments interactifs autour de vous.",如有需要，按鼠标中键就能显示周围可以互动的物体。,如有需要，按下滑鼠中鍵即可顯示周圍所有可互動物品。
tuto.indices.souris.2,A pulsating white dot indicates items where something is still to be seen or done.,Un point blanc pulsant indique les éléments sur lesquels il reste quelque chose à voir ou à faire.,如果周围出现闪烁的小白点，就说明那里还有东西没有观察或者还有事情没做。,螢幕上出現的閃爍白點，會指示何處有尚未發現或互動的物品。
tuto.indices.pad.1.xbox,You can use the Hints button to reveal nearby interactions.,"En cas de besoin, utilisez la touche Indices pour dévoiler tous les éléments interactifs autour de vous.",按提示按钮可以显示周围能够互动的物体。,如有需要，按下「提示」按鍵即可顯示周圍所有的可互動選項。
,You can use the Hints Button to reveal nearby interactions.,"En cas de besoin, utilisez le bouton Indices pour dévoiler tous les éléments interactifs autour de vous.",按提示键可以显示周围能够互动的物体。,如有需要，按下「提示」鍵即可顯示周圍所有的可互動選項。
,You can use the Hints button to reveal nearby interactions.,"En cas de besoin, utilisez la touche Indices pour dévoiler tous les éléments interactifs autour de vous.",按提示按键可以显示周围能够互动的物体。,如有需要，按下「提示」按鈕即可顯示周圍所有的可互動選項。
tuto.indices.pad.2,A pulsating white dot indicates items where something is still to be seen or done.,Un point blanc pulsant indique les éléments sur lesquels il reste quelque chose à voir ou à faire.,如果周围出现闪烁的小白点，就说明那里还有东西没有观察或者还有事情没做。,螢幕上出現的閃爍白點，會指示何處有尚未發現或互動的物品。
tuto.infiltration.souris,"Some areas must be crossed without being noticed. Hover over a hiding place until a silhouette appears, then click to go there.","Certaines zones doivent être traversées discrètement. Survolez une cachette jusqu'à faire apparaître une silhouette, puis cliquez pour vous y rendre.",穿过某些区域的时候绝对不能被人看到。得先移动光标，寻找出现虚影的地方，点一下就能摸过去。,穿越某些區域時，必須小心前進，不被人發現。將滑鼠游標懸停在藏身處，直到出現人物輪廓，然後點按即可前往該處。
tuto.infiltration.pad.1.xbox,Go close to a hiding place and press the Action button to hide.,Approchez-vous d'une cachette et appuyez sur la touche d'Action pour vous y dissimuler.,走到可以藏身的地方，按下行动按钮就能藏起来。,接近藏身處後，按下「操作」按鍵即可躲藏起來。
,Go close to a hiding place and press the Action Button to hide.,Approchez-vous d'une cachette et appuyez sur le bouton d'Action pour vous y dissimuler.,走到可以藏身的地方，按下行动键就能藏起来。,接近藏身處後，按下「操作」鍵即可躲藏起來。
,Go close to a hiding place and press the Interaction button to hide.,Approchez-vous d'une cachette et appuyez sur la touche d'Interaction pour vous y dissimuler.,走到可以藏身的地方，按下互动按键就能藏起来。,接近藏身處後，按下「互動」按鈕即可躲藏起來。
tuto.infiltration.pad.2.xbox,Go along the walls with the left stick.,Longez les murs grâce au stick analogique gauche.,使用左摇杆沿着墙根移动。,使用左搖桿沿著牆壁前進。
,Go along the walls with the Left Stick.,Longez les murs grâce au stick gauche.,使用L摇杆沿着墙根移动。,使用L操控搖桿沿著牆壁前進。
,Go along the walls with the left stick.,Longez les murs grâce au joystick gauche.,使用左操作杆沿着墙根移动。,使用左操作桿沿著牆壁前進。
tuto.infiltration.pad.3.xbox,Press the Cancel button to return to free travel mode.,Appuyez sur la touche d'Annulation pour repasser en déplacement libre.,按取消按钮可以回到自由移动的状态。,按下「取消」按鍵，即可返回自由探索模式。
,Press the Cancel Button to return to free travel mode.,Appuyez sur le bouton d'Annulation pour repasser en déplacement libre.,按取消键可以回到自由移动的状态。,按下「取消」鍵，即可返回自由探索模式。
,Press the Cancel button to return to free travel mode.,Appuyez sur la touche d'Annulation pour repasser en déplacement libre.,按取消按键可以回到自由移动的状态。,按下「取消」按鈕，即可返回自由探索模式。
tuto.combinaison.souris,"Some elements of the environment can be combined with items from your Inventory. To combine them, first click on the element, choose your item, then click on the Combine button.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, cliquez d'abord sur l'élément, choisissez votre objet, puis cliquez sur le bouton d’Association.",周围有些东西能和行囊里的物品组合。操作步骤：首先点击周围的东西，然后选择你的物品，最后点击组合按钮。,某些環境要素可以與你背包內的物品搭配使用。要將兩者組合起來，首先點按環境要素，選擇你的物品，然後點按「組合」按鈕。
tuto.combinaison.pad.xbox,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Action button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur la touche d'Action.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下行动按钮。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「操作」按鍵。
,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Action Button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur le bouton d'Action.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下行动键。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「操作」鍵。
,"Some elements of the environment can be combined with items from your Inventory. To combine them, first activate the element, choose your item, then press the Interaction button again.","Certains éléments du décor peuvent être associés avec des objets de votre Inventaire. Pour les associer, actionnez d'abord l'élément, choisissez votre objet, puis appuyez à nouveau sur la touche d'Interaction.",周围有些东西能和行囊里的物品组合。操作步骤：首先激活周围的东西，然后选择你的物品，最后再按一下互动按键。,某些環境要素可以與你背包內的物品互相搭配。要將兩者組合，首先觸發環境要素，選擇你的物品，然後再次按下「互動」按鈕。
tuto.mecanisme.souris.1,The components of some devices or mechanisms can be manipulated.,Les éléments de certains appareils ou mécanismes peuvent être manipulés.,某些设备或者机关的部件可以操作。,有些機關或裝置的組件是可以操縱的。
tuto.mecanisme.souris.2,"Hover over a component, then hold down the left mouse button to grab it.",Survolez un élément puis maintenez le clic gauche enfoncé pour le saisir.,光标移到部件上，然后按住鼠标左键抓住部件。,將滑鼠游標懸停在組件上，然後按住滑鼠左鍵抓取。
